,name
1157,NOK/HKD
1158,PHP/HKD
1159,PLN/HKD
1160,RUB/HKD
1161,SAR/HKD
1162,SEK/HKD
1163,THB/HKD
1164,TRY/HKD
1165,TWD/HKD
1166,VES/HKD
1167,HKD/RUB
1168,USD/HNL
1169,USD/HRK
1170,USD/HTG
1171,PLN/HUF
1172,USD/HUF
1173,NZD/HUF
1174,HUF/IDR
1175,HUF/INR
1176,HUF/JPY
1177,HUF/ISK
1178,HUF/KRW
1179,HUF/PHP
1180,HUF/PKR
1181,HUF/RUB
1182,HUF/THB
1183,HUF/XAF
1184,HUF/JMD
1185,HUF/KES
1186,HUF/LKR
1187,HUF/LBP
1188,HUF/NPR
1189,HUF/XOF
1190,ILS/HUF
1191,INR/HUF
1192,ISK/HUF
1193,JPY/HUF
1194,MXN/HUF
1195,NOK/HUF
1196,PHP/HUF
1197,PKR/HUF
1198,RUB/HUF
1199,SAR/HUF
1200,SEK/HUF
1201,SGD/HUF
1202,THB/HUF
1203,TRY/HUF
1204,TWD/HUF
1205,VES/HUF
1206,ZAR/HUF
1207,HUF/USD
1208,HUF/ILS
1209,HUF/RUB
1210,IDR/INR
1211,IDR/JPY
1212,IDR/KRW
1213,IDR/THB
1214,IDR/TWD
1215,JPY/IDR
1216,KRW/IDR
1217,MYR/IDR
1218,NZD/IDR
1219,SGD/IDR
1220,THB/IDR
1221,TWD/IDR
1222,USD/IDR
1223,ZAR/IDR
1224,ILS/IDR
1225,INR/IDR
1226,ISK/IDR
1227,MXN/IDR
1228,NOK/IDR
1229,PHP/IDR
1230,PKR/IDR
1231,PLN/IDR
1232,RUB/IDR
1233,SAR/IDR
1234,SEK/IDR
1235,TRY/IDR
1236,VES/IDR
1237,IDR/USD
1238,USD/ILS
1239,ILS/JPY
1240,JOD/ILS
1241,JPY/ILS
1242,ILS/INR
1243,ILS/ISK
1244,ILS/JMD
1245,ILS/JOD
1246,ILS/KES
1247,ILS/KRW
1248,ILS/LBP
1249,ILS/LKR
1250,ILS/MAD
1251,ILS/MXN
1252,ILS/MYR
1253,ILS/NAD
1254,ILS/NOK
1255,ILS/NPR
1256,ILS/NZD
1257,ILS/OMR
1258,ILS/PAB
1259,ILS/PHP
1260,ILS/PKR
1261,ILS/PLN
1262,ILS/QAR
1263,ILS/RON
1264,ILS/RUB
1265,ILS/SAR
1266,ILS/SEK
1267,ILS/SGD
1268,ILS/THB
1269,ILS/TRY
1270,ILS/TWD
1271,ILS/USD
1272,ILS/VES
1273,ILS/XAF
1274,ILS/XCD
1275,ILS/XOF
1276,ILS/ZAR
1277,INR/ILS
1278,MXN/ILS
1279,NOK/ILS
1280,NZD/ILS
1281,PLN/ILS
1282,RUB/ILS
1283,SAR/ILS
1284,SEK/ILS
1285,SGD/ILS
1286,THB/ILS
1287,TRY/ILS
1288,TWD/ILS
1289,VES/ILS
1290,ZAR/ILS
1291,ILS/UAH
1292,ILS/PEN
1293,ILS/UYU
1294,ISK/ILS
1295,KRW/ILS
1296,RON/ILS
1297,USD/INR
1298,INR/JPY
1299,INR/KRW
1300,INR/PKR
1301,INR/THB
1302,INR/TWD
1303,JPY/INR
1304,KRW/INR
1305,MYR/INR
1306,NOK/INR
1307,NZD/INR
1308,SEK/INR
1309,SGD/INR
1310,THB/INR
1311,TWD/INR
1312,ZAR/INR
1313,INR/PHP
1314,INR/ISK
1315,INR/JMD
1316,INR/KES
1317,INR/LBP
1318,INR/LKR
1319,INR/MAD
1320,INR/MXN
1321,INR/MYR
1322,INR/NAD
1323,INR/NOK
1324,INR/NPR
1325,INR/RUB
1326,INR/SEK
1327,INR/TRY
1328,INR/XAF
1329,INR/XOF
1330,INR/ZAR
1331,ISK/INR
1332,MXN/INR
1333,PHP/INR
1334,PKR/INR
1335,PLN/INR
1336,RUB/INR
1337,SAR/INR
1338,TRY/INR
1339,VES/INR
1340,INR/USD
1341,INR/RUB
1342,USD/IQD
1343,IQD/USD
1344,USD/IRR
1345,IRR/USD
1346,SEK/ISK
1347,USD/ISK
1348,ISK/JPY
1349,ISK/KRW
1350,ISK/PHP
1351,ISK/PKR
1352,ISK/RUB
1353,ISK/THB
1354,ISK/XAF
1355,ISK/JMD
1356,ISK/KES
1357,ISK/LKR
1358,ISK/LBP
1359,ISK/NPR
1360,ISK/XOF
1361,JPY/ISK
1362,MXN/ISK
1363,NOK/ISK
1364,NZD/ISK
1365,PHP/ISK
1366,PKR/ISK
1367,PLN/ISK
1368,RUB/ISK
1369,SAR/ISK
1370,SGD/ISK
1371,THB/ISK
1372,TRY/ISK
1373,TWD/ISK
1374,VES/ISK
1375,ZAR/ISK
1376,USD/JMD
1377,JPY/JMD
1378,MXN/JMD
1379,NOK/JMD
1380,NZD/JMD
1381,PHP/JMD
1382,PKR/JMD
1383,PLN/JMD
1384,RUB/JMD
1385,SAR/JMD
1386,SEK/JMD
1387,SGD/JMD
1388,THB/JMD
1389,TRY/JMD
1390,TWD/JMD
1391,VES/JMD
